Action;SectionID;ParentSectionID;Duration;Complexity
boolean_comparison_run_1;6;1;1216;1
transpose_run_1;7;1;1184;1
transpose_run_1;8;1;1657;2
outerProduct_run_1;9;1;1828;1
matrixMultiplication_run_1;10;1;623;1
colSums_run_1;11;1;1160;1
colSums_run_1;12;1;1178;2
combine_run_1;13;1;1461;1
full_run_run_1;1;0;366826;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;284818;1
per_chunk_sort_run_1;3;1;61654;1
reshaping_run_1;4;1;640;2
shifting_and_subtraction_run_1;5;1;3419;1
boolean_comparison_run_1;6;1;1080;1
transpose_run_1;7;1;1358;1
transpose_run_1;8;1;1919;2
outerProduct_run_1;9;1;1090;1
matrixMultiplication_run_1;10;1;553;1
colSums_run_1;11;1;1398;1
colSums_run_1;12;1;1183;2
combine_run_1;13;1;1545;1
full_run_run_1;1;0;361934;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;279553;1
per_chunk_sort_run_1;3;1;59544;1
reshaping_run_1;4;1;696;2
shifting_and_subtraction_run_1;5;1;3751;1
boolean_comparison_run_1;6;1;1165;1
transpose_run_1;7;1;1166;1
transpose_run_1;8;1;1597;2
outerProduct_run_1;9;1;1027;1
matrixMultiplication_run_1;10;1;527;1
colSums_run_1;11;1;1155;1
colSums_run_1;12;1;1145;2
combine_run_1;13;1;1448;1
full_run_run_1;1;0;353939;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;283968;1
per_chunk_sort_run_1;3;1;67683;1
reshaping_run_1;4;1;716;2
shifting_and_subtraction_run_1;5;1;3930;1
boolean_comparison_run_1;6;1;1143;1
transpose_run_1;7;1;1446;1
transpose_run_1;8;1;1945;2
outerProduct_run_1;9;1;1022;1
matrixMultiplication_run_1;10;1;536;1
colSums_run_1;11;1;1191;1
colSums_run_1;12;1;1202;2
combine_run_1;13;1;1451;1
full_run_run_1;1;0;367411;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;288823;1
per_chunk_sort_run_1;3;1;60439;1
reshaping_run_1;4;1;624;2
shifting_and_subtraction_run_1;5;1;3399;1
boolean_comparison_run_1;6;1;1206;1
transpose_run_1;7;1;1317;1
transpose_run_1;8;1;1887;2
outerProduct_run_1;9;1;1138;1
matrixMultiplication_run_1;10;1;565;1
colSums_run_1;11;1;1382;1
colSums_run_1;12;1;1353;2
combine_run_1;13;1;1566;1
full_run_run_1;1;0;365057;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;282321;1
per_chunk_sort_run_1;3;1;59095;1
reshaping_run_1;4;1;645;2
shifting_and_subtraction_run_1;5;1;3386;1
boolean_comparison_run_1;6;1;1176;1
transpose_run_1;7;1;1189;1
transpose_run_1;8;1;1661;2
outerProduct_run_1;9;1;1898;1
matrixMultiplication_run_1;10;1;563;1
colSums_run_1;11;1;1182;1
colSums_run_1;12;1;1206;2
combine_run_1;13;1;1502;1
full_run_run_1;1;0;357302;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;282347;1
per_chunk_sort_run_1;3;1;64806;1
reshaping_run_1;4;1;646;2
shifting_and_subtraction_run_1;5;1;3453;1
boolean_comparison_run_1;6;1;1221;1
transpose_run_1;7;1;1301;1
transpose_run_1;8;1;1938;2
outerProduct_run_1;9;1;1110;1
matrixMultiplication_run_1;10;1;587;1
colSums_run_1;11;1;1355;1
colSums_run_1;12;1;1327;2
combine_run_1;13;1;1465;1
full_run_run_1;1;0;362790;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;281644;1
per_chunk_sort_run_1;3;1;73528;1
reshaping_run_1;4;1;713;2
shifting_and_subtraction_run_1;5;1;3551;1
boolean_comparison_run_1;6;1;1118;1
transpose_run_1;7;1;1231;1
transpose_run_1;8;1;1746;2
outerProduct_run_1;9;1;1286;1
matrixMultiplication_run_1;10;1;552;1
colSums_run_1;11;1;1308;1
colSums_run_1;12;1;1262;2
combine_run_1;13;1;2051;1
full_run_run_1;1;0;412541;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;279865;1
per_chunk_sort_run_1;3;1;65103;1
reshaping_run_1;4;1;641;2
shifting_and_subtraction_run_1;5;1;3414;1
boolean_comparison_run_1;6;1;1099;1
transpose_run_1;7;1;1311;1
transpose_run_1;8;1;1946;2
outerProduct_run_1;9;1;1089;1
matrixMultiplication_run_1;10;1;562;1
colSums_run_1;11;1;1187;1
colSums_run_1;12;1;1189;2
combine_run_1;13;1;1454;1
full_run_run_1;1;0;360384;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;281424;1
per_chunk_sort_run_1;3;1;61498;1
reshaping_run_1;4;1;719;2
shifting_and_subtraction_run_1;5;1;3608;1
boolean_comparison_run_1;6;1;1100;1
transpose_run_1;7;1;1252;1
transpose_run_1;8;1;1719;2
outerProduct_run_1;9;1;1858;1
matrixMultiplication_run_1;10;1;569;1
colSums_run_1;11;1;1269;1
colSums_run_1;12;1;1258;2
combine_run_1;13;1;1587;1
full_run_run_1;1;0;359785;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;283881;1
per_chunk_sort_run_1;3;1;60114;1
reshaping_run_1;4;1;725;2
shifting_and_subtraction_run_1;5;1;3703;1
boolean_comparison_run_1;6;1;1320;1
transpose_run_1;7;1;1156;1
transpose_run_1;8;1;1632;2
outerProduct_run_1;9;1;958;1
matrixMultiplication_run_1;10;1;547;1
colSums_run_1;11;1;1165;1
colSums_run_1;12;1;1201;2
combine_run_1;13;1;1457;1
full_run_run_1;1;0;359030;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;286539;1
per_chunk_sort_run_1;3;1;59451;1
reshaping_run_1;4;1;710;2
shifting_and_subtraction_run_1;5;1;3833;1
boolean_comparison_run_1;6;1;1120;1
transpose_run_1;7;1;1148;1
transpose_run_1;8;1;1586;2
outerProduct_run_1;9;1;1210;1
matrixMultiplication_run_1;10;1;756;1
colSums_run_1;11;1;1162;1
colSums_run_1;12;1;1123;2
combine_run_1;13;1;1474;1
full_run_run_1;1;0;361211;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;282333;1
per_chunk_sort_run_1;3;1;64955;1
reshaping_run_1;4;1;636;2
shifting_and_subtraction_run_1;5;1;3426;1
boolean_comparison_run_1;6;1;1180;1
transpose_run_1;7;1;1332;1
transpose_run_1;8;1;1891;2
outerProduct_run_1;9;1;991;1
matrixMultiplication_run_1;10;1;586;1
colSums_run_1;11;1;1350;1
colSums_run_1;12;1;1336;2
combine_run_1;13;1;1500;1
full_run_run_1;1;0;362806;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;282336;1
per_chunk_sort_run_1;3;1;55276;1
reshaping_run_1;4;1;562;2
shifting_and_subtraction_run_1;5;1;3061;1
boolean_comparison_run_1;6;1;1142;1
transpose_run_1;7;1;1205;1
transpose_run_1;8;1;1663;2
outerProduct_run_1;9;1;1050;1
matrixMultiplication_run_1;10;1;550;1
colSums_run_1;11;1;1242;1
colSums_run_1;12;1;1242;2
combine_run_1;13;1;1536;1
full_run_run_1;1;0;353041;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;282092;1
per_chunk_sort_run_1;3;1;70484;1
reshaping_run_1;4;1;657;2
shifting_and_subtraction_run_1;5;1;3452;1
boolean_comparison_run_1;6;1;1158;1
transpose_run_1;7;1;1302;1
transpose_run_1;8;1;1886;2
outerProduct_run_1;9;1;1065;1
matrixMultiplication_run_1;10;1;579;1
colSums_run_1;11;1;1324;1
colSums_run_1;12;1;1141;2
combine_run_1;13;1;1448;1
full_run_run_1;1;0;367747;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;285917;1
per_chunk_sort_run_1;3;1;60098;1
reshaping_run_1;4;1;700;2
shifting_and_subtraction_run_1;5;1;3484;1
boolean_comparison_run_1;6;1;1183;1
transpose_run_1;7;1;1414;1
transpose_run_1;8;1;1975;2
outerProduct_run_1;9;1;1063;1
matrixMultiplication_run_1;10;1;541;1
colSums_run_1;11;1;1245;1
colSums_run_1;12;1;1270;2
combine_run_1;13;1;1552;1
full_run_run_1;1;0;361786;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;284709;1
per_chunk_sort_run_1;3;1;61261;1
reshaping_run_1;4;1;751;2
shifting_and_subtraction_run_1;5;1;3850;1
boolean_comparison_run_1;6;1;1091;1
transpose_run_1;7;1;1204;1
transpose_run_1;8;1;1645;2
outerProduct_run_1;9;1;1217;1
matrixMultiplication_run_1;10;1;576;1
colSums_run_1;11;1;1185;1
colSums_run_1;12;1;1191;2
combine_run_1;13;1;1526;1
full_run_run_1;1;0;361380;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;277310;1
per_chunk_sort_run_1;3;1;58121;1
reshaping_run_1;4;1;556;2
shifting_and_subtraction_run_1;5;1;3031;1
boolean_comparison_run_1;6;1;1086;1
transpose_run_1;7;1;1139;1
transpose_run_1;8;1;1678;2
outerProduct_run_1;9;1;1114;1
matrixMultiplication_run_1;10;1;779;1
colSums_run_1;11;1;1185;1
colSums_run_1;12;1;1192;2
combine_run_1;13;1;1488;1
full_run_run_1;1;0;350611;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;285153;1
per_chunk_sort_run_1;3;1;77607;1
reshaping_run_1;4;1;707;2
shifting_and_subtraction_run_1;5;1;3565;1
boolean_comparison_run_1;6;1;1270;1
transpose_run_1;7;1;1312;1
transpose_run_1;8;1;1878;2
outerProduct_run_1;9;1;1547;1
matrixMultiplication_run_1;10;1;630;1
colSums_run_1;11;1;1145;1
colSums_run_1;12;1;1149;2
combine_run_1;13;1;1459;1
full_run_run_1;1;0;379462;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;277822;1
per_chunk_sort_run_1;3;1;79848;1
reshaping_run_1;4;1;643;2
shifting_and_subtraction_run_1;5;1;3483;1
boolean_comparison_run_1;6;1;1106;1
transpose_run_1;7;1;1308;1
transpose_run_1;8;1;1874;2
outerProduct_run_1;9;1;1115;1
matrixMultiplication_run_1;10;1;569;1
colSums_run_1;11;1;1381;1
colSums_run_1;12;1;1339;2
combine_run_1;13;1;1536;1
full_run_run_1;1;0;373225;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;287300;1
per_chunk_sort_run_1;3;1;67691;1
reshaping_run_1;4;1;644;2
shifting_and_subtraction_run_1;5;1;3422;1
boolean_comparison_run_1;6;1;1141;1
transpose_run_1;7;1;1335;1
transpose_run_1;8;1;1887;2
outerProduct_run_1;9;1;1444;1
matrixMultiplication_run_1;10;1;642;1
colSums_run_1;11;1;1357;1
colSums_run_1;12;1;1329;2
combine_run_1;13;1;1437;1
full_run_run_1;1;0;370824;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;281530;1
per_chunk_sort_run_1;3;1;54554;1
reshaping_run_1;4;1;671;2
shifting_and_subtraction_run_1;5;1;3481;1
boolean_comparison_run_1;6;1;1143;1
transpose_run_1;7;1;1287;1
transpose_run_1;8;1;1936;2
outerProduct_run_1;9;1;1135;1
matrixMultiplication_run_1;10;1;595;1
colSums_run_1;11;1;1393;1
colSums_run_1;12;1;1187;2
combine_run_1;13;1;1460;1
full_run_run_1;1;0;351522;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;282319;1
per_chunk_sort_run_1;3;1;72324;1
reshaping_run_1;4;1;740;2
shifting_and_subtraction_run_1;5;1;3808;1
boolean_comparison_run_1;6;1;1132;1
transpose_run_1;7;1;1176;1
transpose_run_1;8;1;1645;2
outerProduct_run_1;9;1;1446;1
matrixMultiplication_run_1;10;1;717;1
colSums_run_1;11;1;1207;1
colSums_run_1;12;1;1190;2
combine_run_1;13;1;1504;1
full_run_run_1;1;0;370398;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;286532;1
per_chunk_sort_run_1;3;1;65699;1
reshaping_run_1;4;1;839;2
shifting_and_subtraction_run_1;5;1;3668;1
boolean_comparison_run_1;6;1;1235;1
transpose_run_1;7;1;1636;1
transpose_run_1;8;1;1995;2
outerProduct_run_1;9;1;1038;1
matrixMultiplication_run_1;10;1;544;1
colSums_run_1;11;1;1453;1
colSums_run_1;12;1;1469;2
combine_run_1;13;1;1744;1
full_run_run_1;1;0;369118;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;281139;1
per_chunk_sort_run_1;3;1;55431;1
reshaping_run_1;4;1;638;2
shifting_and_subtraction_run_1;5;1;3422;1
boolean_comparison_run_1;6;1;1180;1
transpose_run_1;7;1;1308;1
transpose_run_1;8;1;1913;2
outerProduct_run_1;9;1;964;1
matrixMultiplication_run_1;10;1;564;1
colSums_run_1;11;1;1187;1
colSums_run_1;12;1;1179;2
combine_run_1;13;1;1435;1
full_run_run_1;1;0;351781;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;284250;1
per_chunk_sort_run_1;3;1;77682;1
reshaping_run_1;4;1;644;2
shifting_and_subtraction_run_1;5;1;3494;1
boolean_comparison_run_1;6;1;1121;1
transpose_run_1;7;1;1322;1
transpose_run_1;8;1;1886;2
outerProduct_run_1;9;1;979;1
matrixMultiplication_run_1;10;1;750;1
colSums_run_1;11;1;1232;1
colSums_run_1;12;1;1182;2
combine_run_1;13;1;1472;1
full_run_run_1;1;0;377328;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;282553;1
per_chunk_sort_run_1;3;1;65558;1
reshaping_run_1;4;1;640;2
shifting_and_subtraction_run_1;5;1;3456;1
boolean_comparison_run_1;6;1;1179;1
transpose_run_1;7;1;1323;1
transpose_run_1;8;1;1896;2
